X,Y,Z
-0.00349128,0.00423306,-0.000256167
-0.0558543,0.0311942,0.0165893
-0.0670445,0.0363339,0.0654996
-0.143998,-0.0352273,0.135172
-0.192119,-0.0716898,0.216592
-0.24347,-0.0876547,0.297351
-0.207443,-0.12016,0.404432
-0.135042,-0.129142,0.479226
-0.0596448,-0.123277,0.48159
-0.00255121,-0.127057,0.480897
0.106065,-0.159682,0.52104
0.194752,-0.206817,0.586338
0.296164,-0.224606,0.65243
0.385068,-0.24902,0.700721
0.490369,-0.273456,0.746139
0.603624,-0.27705,0.779765
0.715633,-0.302159,0.807822
0.815876,-0.320316,0.823802
0.932006,-0.334056,0.833223
1.05934,-0.34231,0.824062
1.17366,-0.355426,0.800304
1.2869,-0.369026,0.785569
1.38477,-0.354021,0.803354
1.49089,-0.364199,0.823127
1.60474,-0.387677,0.859725
1.7155,-0.39581,0.886371
1.84805,-0.401008,0.895975
1.95221,-0.419895,0.891737
2.0826,-0.437798,0.876402
2.19857,-0.431985,0.868282
2.31846,-0.469647,0.854655
2.42323,-0.503785,0.842466
2.53744,-0.510213,0.827437
2.64901,-0.521051,0.80973
2.75792,-0.540446,0.787434
2.8681,-0.523394,0.760355
2.94971,-0.509826,0.75702
3.02394,-0.487012,0.670505
3.04613,-0.457451,0.569752
3.04594,-0.4346,0.517976
3.03323,-0.426607,0.493028
3.04585,-0.425787,0.463261
3.03996,-0.431597,0.438606
3.03616,-0.434405,0.418535
3.02996,-0.415785,0.418061
3.03767,-0.415594,0.418596
3.03911,-0.406381,0.393076
3.02265,-0.397312,0.375587
3.02047,-0.396578,0.359957
3.02121,-0.402352,0.327671
3.01901,-0.399743,0.307617
3.00463,-0.388378,0.264612
2.99572,-0.377943,0.240368
3.09509,-0.373174,0.26968
3.19139,-0.397842,0.323315
3.29939,-0.413343,0.349709
3.37664,-0.405792,0.253573
3.41808,-0.396942,0.155493
3.41825,-0.394384,0.0554057
3.40215,-0.382993,-0.0239886
3.41986,-0.37998,-0.127786
3.41158,-0.35527,-0.228912
3.36357,-0.342186,-0.306655
3.30149,-0.326181,-0.384916
3.28614,-0.354785,-0.506674
3.29461,-0.299626,-0.633408
3.28219,-0.263475,-0.732239
3.25397,-0.223619,-0.81839
3.19488,-0.211597,-0.91399
3.13098,-0.167816,-1.16875
3.17001,-0.151112,-1.26402
3.21202,-0.158673,-1.3586
3.17196,-0.139181,-1.45119
3.11658,-0.108823,-1.54031
3.05617,-0.0868714,-1.63158
3.03436,-0.0799143,-1.72762
3.04625,-0.0583086,-1.82573
3.09215,-0.0375231,-1.91896
3.06162,-0.0351321,-1.97255
3.03535,-0.0314896,-1.97966
3.02448,-0.03071,-1.97232
2.9963,-0.0235945,-1.95847
2.96966,-0.0222889,-1.95151
2.93998,-0.023413,-1.94722
2.89559,-0.0236147,-1.94219
2.84998,0.00675054,-2.03004
2.81324,0.00854727,-2.09841
2.79991,-0.00243309,-2.12088
2.78011,-0.00983267,-2.13147
2.76623,-0.0140123,-2.13412
2.74069,-0.0213318,-2.12242
2.64273,-0.018906,-2.09451
2.55978,-0.0242564,-2.06585
2.48639,-0.0253003,-2.02015
2.41798,-0.0292594,-1.98179
2.32292,-0.0218083,-1.96908
2.22297,-0.0192397,-1.96721
2.12723,-0.0327134,-1.9264
2.01244,-0.0283522,-1.88565
1.91769,-0.0349993,-1.83915
1.81329,-0.028524,-1.78655
1.71393,-0.0239789,-1.78204
1.60812,-0.0398616,-1.76987
1.51156,-0.0355598,-1.73563
1.4154,-0.0379082,-1.68783
1.31076,-0.0401757,-1.62558
1.26075,-0.0379965,-1.57937
1.19092,-0.0413194,-1.55622
1.10367,-0.0305054,-1.5445
0.994491,-0.0203259,-1.54264
0.891249,-0.0235043,-1.51547
0.777803,-0.0340112,-1.46046
0.660354,-0.0341631,-1.43439
0.541574,-0.0323195,-1.42721
0.434199,-0.0483861,-1.43754
