time,x,y,z,roll,pitch,yaw,framenum,valid
2.493010,0.00721753,-0.00752373,0.000946974,0.0012259,-0.000539228,0.00217884,0,0
3.539077,0.00644451,-0.0115835,0.00991875,-0.0244381,-0.000663716,0.000256255,1,0
3.773995,0.00780393,-0.0130989,0.0285531,-0.0616492,-0.0738109,0.0133044,2,0
3.908075,0.00605671,-0.00940003,0.0346628,-0.0872679,-0.0792825,0.015504,3,0
4.008405,0.00481035,-0.00973231,0.0385694,-0.0587373,-0.0618666,0.00957292,4,0
4.209002,0.00917624,-0.00370917,0.0571829,-0.0394915,-0.0870347,-0.00717561,5,0
4.376166,0.0102747,-0.0022137,0.0824443,-0.0377022,-0.0795984,-0.0091094,6,0
4.743926,0.00660118,0.00458909,0.442178,0.00920303,-0.0716297,-0.0407834,7,3
4.911248,-0.00587177,0.00395192,0.505482,-0.00275801,-0.0532927,-0.023354,8,0
5.045456,-0.00276651,-0.00792812,0.550813,-0.0117064,-0.0618952,-0.0249955,9,0
5.515737,-0.00355302,-0.00405409,0.688643,0.00193849,-0.0308034,-0.0323302,10,3
5.582920,-0.00335054,-0.00419902,0.705411,0.00156245,-0.029609,-0.0322584,11,0
5.750877,-0.00400571,-0.000920947,0.757577,-0.0107283,-0.0167714,-0.0233529,12,0
5.885243,-0.00763604,5.77274e-05,0.780587,-0.00683568,-0.00940869,-0.0192238,13,0
5.986018,-0.0115951,0.00128208,0.805381,-0.00764881,-0.00189112,-0.0163136,14,0
6.354540,-0.013022,0.00241037,0.819114,-0.0110877,-0.00344981,0.00309168,15,0
6.555136,-0.00931856,0.00584656,0.81743,-0.0149893,0.00570742,0.0101098,16,0
6.889464,-0.0155324,0.00700264,0.814121,-0.0249932,0.0160135,0.0287887,17,0
7.023195,-0.018896,0.0150264,0.811808,-0.0236207,0.0201984,0.029916,18,0
7.324471,-0.0251228,0.0133088,0.822503,-0.0290681,0.0209809,0.0378159,19,0
7.694199,-0.014572,0.00349597,0.816918,-0.0410368,0.0363037,0.048489,20,0
7.929562,0.0105938,-0.00148134,0.8211,-0.0232761,0.0395254,0.0524858,21,0
8.030432,0.0436849,0.00250439,0.823359,-0.0376902,0.0300052,0.0559583,22,0
8.231917,0.0888427,0.0101588,0.825717,-0.0117288,0.0291528,0.0464467,23,0
8.332279,0.128717,0.0336236,0.8362,-0.00593327,0.0249194,0.0116851,24,0
8.532876,0.189282,0.011968,0.855957,-0.0385677,0.0210075,0.0117877,25,0
8.633174,0.22673,-0.0151557,0.868684,-0.0183807,0.0115186,0.0295399,26,0
8.833770,0.309599,-0.00961392,0.850653,-0.0111026,-0.00133389,0.0525161,27,0
8.934069,0.361369,-0.0282929,0.85776,-0.0274754,-0.00631677,0.0990108,28,0
9.134665,0.436292,-0.0109167,0.848458,-0.0163974,-0.00547207,0.13252,29,0
9.234963,0.488953,-0.0187911,0.856151,-0.0330752,-0.0107851,0.136172,30,0
9.435941,0.550465,-0.0174968,0.838839,-0.0571029,0.00599902,0.131779,31,0
9.603867,0.6076,-0.0259417,0.851321,-0.0334881,0.000902598,0.12906,32,0
9.738233,0.65278,-0.022436,0.857929,-0.0260237,-0.000561206,0.125094,33,0
9.839007,0.697823,-0.0253654,0.850847,-0.0122224,0.0163354,0.11306,34,0
10.040556,0.755296,-0.0294951,0.852654,-0.0120149,0.00892422,0.105773,35,0
10.141331,0.801404,-0.0476766,0.84867,-0.0445074,0.00956144,0.11376,36,0
10.275697,0.841813,-0.0464263,0.849365,-0.0420775,0.0160574,0.0917997,37,0
10.376471,0.890364,-0.0504472,0.862797,-0.0393811,0.00981251,0.0895416,38,0
10.510837,0.934537,-0.0293253,0.862137,-0.0377712,0.00463775,0.0775415,39,0
10.645044,0.992374,-0.035052,0.860628,-0.0325069,0.00453868,0.0918748,40,0
10.812272,1.05667,-0.0438993,0.862584,-0.0465292,-0.00258224,0.108372,41,0
10.946003,1.10754,-0.0344548,0.865268,-0.0414401,-0.0108154,0.109768,42,0
11.113166,1.16349,-0.0193011,0.866557,-0.0415838,-0.00206016,0.0988635,43,0
11.347196,1.2378,-0.00859604,0.879738,-0.0453068,0.00498254,0.0751808,44,0
11.614658,1.32435,-0.0201331,0.876665,-0.0400769,-0.00211709,0.0879536,45,0
11.916314,1.43539,-0.0112656,0.879124,-0.0119349,-0.0313927,0.092434,46,0
12.151677,1.50321,0.0157553,0.88621,-0.0194926,0.00185608,0.0574562,47,0
12.319793,1.55388,0.000711396,0.893763,-0.0283786,0.000336981,0.0507712,48,0
12.454286,1.58802,-0.00222158,0.889692,-0.0139885,0.00665354,0.0449946,49,0
12.555156,1.62363,-0.00757921,0.88896,-0.00489233,0.0061581,0.0276154,50,0
12.756642,1.68344,-0.0257742,0.886947,-0.025244,-0.00414049,0.0406242,51,0
12.857099,1.71022,-0.0402571,0.887981,-0.0217008,-0.00604712,0.0469795,52,0
12.990957,1.75832,-0.0369235,0.885831,-0.0266463,-0.0146787,0.0463187,53,0
13.292137,1.84464,-0.0311804,0.89436,-0.0445368,0.00660919,0.0094912,54,0
13.526389,1.91818,-0.0367461,0.905814,-0.047992,0.0016212,-0.0136699,55,0
13.660247,1.96079,-0.0432343,0.898369,-0.0434222,0.00471839,0.00256662,56,0
13.827569,2.02757,-0.0475817,0.8949,-0.0322536,-0.00263669,0.0288716,57,0
13.961427,2.07344,-0.0531723,0.893279,-0.0182121,-0.00199035,0.038275,58,0
14.128750,2.14744,-0.0652608,0.886221,-0.0219271,-0.0264964,0.0744654,59,0
14.329537,2.21795,-0.0598109,0.879524,-0.0140866,-0.00324659,0.0889823,60,0
14.496923,2.27731,-0.0574784,0.871494,-0.0149498,0.00561364,0.0769231,61,0
14.731777,2.36437,-0.0511227,0.876386,-0.00501964,0.00308563,0.0872413,62,0
14.933326,2.43921,-0.0682248,0.868871,-0.0105072,-0.0191617,0.114492,63,0
15.034101,2.47724,-0.0800888,0.859374,-6.27351e-05,-0.0312264,0.136207,64,0
15.202058,2.53453,-0.0975863,0.846938,0.0133359,-0.0444626,0.16844,65,0
15.403607,2.57268,-0.109356,0.830225,0.032781,-0.044902,0.179109,66,0
15.571565,2.58704,-0.115016,0.810491,0.0116533,-0.038884,0.198847,67,0
15.772955,2.59291,-0.12301,0.808507,0.0155855,-0.0102931,0.202647,68,0
16.073977,2.61303,-0.122767,0.806349,0.00363598,-0.0101001,0.182633,69,0
16.308006,2.63824,-0.121689,0.784446,-0.00788764,-0.0104031,0.202552,70,0
16.542035,2.67412,-0.113233,0.74583,-0.0112848,-0.0231549,0.193467,71,0
16.742632,2.71044,-0.109779,0.698834,-0.0381295,-0.0393747,0.202097,72,0
16.977042,2.74399,-0.0894468,0.637248,-0.0169846,-0.0194918,0.193881,73,0
17.279493,2.78224,-0.0761267,0.573817,-0.0197218,-0.0156592,0.195605,74,0
17.582102,2.81368,-0.0657361,0.510918,-0.00246878,-0.00782836,0.163002,75,0
17.682972,2.82508,-0.0643755,0.487768,-0.00810365,0.00705726,0.15639,76,0
17.884552,2.83571,-0.0575206,0.452542,-0.0221131,0.00468976,0.130351,77,0
18.118740,2.84396,-0.055185,0.414454,-0.0552264,0.00716418,0.0907427,78,0
18.419635,2.84316,-0.053184,0.379593,-0.0679809,0.0262719,0.0370193,79,0
18.553366,2.84619,-0.0554063,0.370357,-0.069103,0.0206715,0.00754475,80,0
18.720530,2.84676,-0.0600268,0.360184,-0.0938595,0.0266174,0.00850476,81,0
18.887694,2.84721,-0.0632329,0.346659,-0.102192,0.0338914,0.00146141,82,0
19.021488,2.84458,-0.0674985,0.330832,-0.123439,0.0407394,-0.00424606,83,0
19.290030,2.83628,-0.0646157,0.318752,-0.0953253,0.0480468,-0.00916047,84,0
19.525170,2.83139,-0.0582748,0.311657,-0.0326733,0.0483337,-0.0384438,85,0
