time,x,y,z,qx,qy,qz,qw
0.500538,0,0,0,0,0,0,1
0.567277,0,0,0,0,0,0,1
0.700754,0,0,0,0,0,0,1
0.767492,0,0,0,0,0,0,1
0.867600,0,0,0,0,0,0,1
0.934339,0,0,0,0,0,0,1
1.067816,0,0,0,0,0,0,1
1.134554,0,0,0,0,0,0,1
1.301400,0,0,0,0,0,0,1
1.368139,0,0,0,0,0,0,1
1.501775,0,0,0,0,0,0,1
1.670685,0,0,0,0,0,0,1
1.807464,0.00104881,-0.000295137,0.00071035,-8.76251e-06,-0.00270071,0.000316668,0.999996
1.875853,0.000646766,-0.000932181,0.00115695,-0.000162565,-0.00307874,0.000416878,0.999995
2.046827,6.7367e-05,-0.001507,0.00133906,-0.000364166,-0.00372462,0.000834878,0.999993
2.183606,0.000202819,0.00024197,0.0020865,0.000433258,-0.00353224,0.000560022,0.999994
2.286190,-0.00263753,0.00203263,-0.000847256,0.00758868,0.000134053,0.00153009,0.99997
2.354580,-0.00432432,0.00625286,-0.0020351,0.0196311,0.00492788,0.000819249,0.999795
2.525553,0.00165904,0.0120584,0.00724934,0.0364824,0.00839379,-0.0005298,0.999299
2.593943,-0.00186476,0.016807,0.000648266,0.0515418,0.0140384,-0.00107686,0.998572
2.730722,0.00216539,0.0214191,0.00313413,0.0565119,0.0162279,0.000468778,0.99827
2.833306,0.000183963,0.0327211,0.00716938,0.0468959,0.0135831,0.00455491,0.998797
2.901696,-0.000292293,0.0376082,0.00634852,0.0447205,0.010527,0.0073109,0.998917
3.037840,-0.00290062,0.0593653,0.00590202,0.0430804,0.0061028,-0.00314528,0.999048
3.138519,-0.00589524,0.0691077,0.00540845,0.0415668,0.00303387,-0.00662283,0.999109
3.272758,-0.00677497,0.0917182,0.0120949,0.0384416,0.00159114,-0.00132067,0.999259
3.406997,-0.00898051,0.102553,0.00985688,0.0318189,-0.000268863,-0.00335379,0.999488
3.541236,-0.0111357,0.120434,0.00991706,0.0241414,-0.00208787,-0.00693159,0.999682
3.709035,-0.0182482,0.145674,0.0122722,0.0153674,-0.00304337,-0.00631021,0.999857
3.843274,-0.0330944,0.161717,0.0120307,0.016814,0.0010018,-0.0105472,0.999803
3.943921,-0.0262712,0.178363,0.0114668,0.0215008,-0.000383859,-0.0132199,0.999681
4.144930,-0.0328139,0.20284,0.00828157,0.0111729,0.000514987,-0.012114,0.999864
4.312412,-0.0396409,0.21591,0.00545554,0.00305414,-0.00498549,-0.0106242,0.999926
4.513389,-0.0518482,0.226918,-0.000753143,-0.0028999,-0.0061015,-0.0225205,0.999724
4.647374,-0.0556782,0.260157,0.000385736,-0.00613105,-0.00478051,-0.0236542,0.99969
4.814855,-0.0580521,0.274666,-0.00203638,-0.00755569,-0.00415284,-0.0283797,0.99956
5.015833,-0.0658179,0.291822,-0.00756434,-0.00769127,-0.00180685,-0.0387618,0.999217
5.183314,-0.0678537,0.315894,-0.00359876,-0.0163796,-0.00764648,-0.0441417,0.998862
5.384292,-0.0674157,0.320269,-0.00360473,-0.0228771,-0.0114564,-0.0525767,0.998289
5.551773,-0.0670149,0.309521,-0.00575096,-0.0216792,-0.00831504,-0.0491583,0.998521
5.786247,-0.0676462,0.285336,0.00081915,-0.02291,-0.00261065,-0.0430629,0.998806
5.987224,-0.0658832,0.281731,0.00326594,-0.0116509,0.00718894,-0.0425817,0.998999
6.221698,-0.0622141,0.24045,0.00526101,-0.0210767,0.0041442,-0.0273085,0.999396
6.422675,-0.0580468,0.210709,0.00310531,-0.0167251,-0.00187786,-0.0211632,0.999634
6.657149,-0.0486332,0.191427,0.00304299,-0.0149106,-0.00963061,-0.0177518,0.999685
6.791134,-0.052155,0.174045,0.00626467,-0.0131635,-0.00835981,-0.0113505,0.999814
6.958615,-0.0460168,0.15195,0.00894262,-0.0112678,-0.00706206,-0.000433812,0.999911
7.159593,-0.0424289,0.130255,0.00529997,-0.00962351,-0.00808219,0.00356566,0.999915
7.327074,-0.0387611,0.120545,0.00927226,-0.0059022,-0.00835025,-0.00163993,0.999946
7.595044,-0.0390225,0.0853479,0.0104393,-0.0119081,-0.0016924,0.00320927,0.999923
7.762875,-0.0328933,0.0812875,0.0125042,-0.0122618,0.000733035,-0.000772621,0.999924
7.964424,-0.0307807,0.0746482,0.0136729,-0.0147747,-0.000893282,0.0108376,0.999832
8.132381,-0.0252467,0.0599624,0.0145911,-0.0162798,0.00016768,0.00517877,0.999854
8.266747,-0.0231846,0.0441696,0.0138153,-0.0130338,-0.00327587,0.00602958,0.999892
8.434705,-0.0232387,0.0318908,0.0112384,-0.0142308,-0.0101045,0.01596,0.99972
8.569071,-0.0260848,0.0264167,0.00818246,-0.00823474,-0.0118844,0.00929502,0.999852
8.736869,-0.0288373,0.00945238,0.00783279,0.00361205,-0.0115643,0.00347894,0.999921
8.870791,-0.0293169,-0.00283964,0.0146539,0.00328395,-0.00919323,0.00291445,0.999948
9.004649,-0.0255401,-0.000398496,0.0148755,0.000840194,-0.0133071,-9.89342e-05,0.999911
9.138507,-0.0250879,-0.00370893,0.0130214,1.33349e-05,-0.0151271,0.0021763,0.999883
9.272365,-0.0249513,-0.00178268,0.0128501,0.000634739,-0.0150191,0.00120837,0.999886
9.406223,-0.025403,-0.00233061,0.0107024,0.000673309,-0.0146452,0.00170268,0.999891
9.573545,-0.0246592,-0.00142764,0.0120475,0.000910144,-0.0147887,0.00198296,0.999888
9.707403,-0.0249647,0.000294182,0.0128676,0.00140066,-0.0147205,0.000640163,0.99989
9.874726,-0.0236055,-0.000455746,0.01346,0.000966166,-0.0150447,5.21429e-05,0.999886
10.075513,-0.0271404,0.000287886,0.0110329,0.00153894,-0.0141569,0.000505392,0.999898
10.242835,-0.0264889,-0.000816364,0.0101721,0.000930634,-0.0142698,0.000781776,0.999897
10.443749,-0.0335476,-0.00622627,0.00996281,-0.000398283,-0.0129749,0.000523035,0.999916
